-3064,974
-3064,974
-3064,974
-3064,170
-2566,170
-2566,170
-2566,170
-2566,-212
-1908,-212
-1908,-212
-1908,-212
-1908,-205
-1107,-205
-1107,-205
-1107,-205
-1107,503
-186,503
-186,503
-186,503
-186,1725
299,1725
299,1725
299,1725
299,2573
-221,2573
-221,2573
-221,2573
-221,2495
-1418,2495
-1418,2495
-1418,2495
-1418,1821
-2450,1821
-2450,1821
-2450,1821
-2450,975
-3007,975
-3007,975
-3007,975
-3007,-42
-3222,-42
-3222,-42
-3222,-42
-3222,-1037
-2921,-1037
-2921,-1037
-2921,-1037
-2921,-1311
-1869,-1311
-1869,-1311
-1869,-1311
-1869,-568
-579,-568
-579,-568
-579,-568
-579,553
43,553
43,553
43,553
43,1326
-212,1326
-212,1326
-212,1326
-212,1692
-864,1692
-864,1692
-864,1692
-864,1718
-1666,1718
-1666,1718
-1666,1718
-1666,1097
-2653,1097
-2653,1097
-2653,1097
-2653,-191
-3397,-191
-3397,-191
-3397,-191
-3397,-1363
-3209,-1363
-3209,-1363
-3209,-1363
-3209,-1674
-2158,-1674
-2158,-1674
-2158,-1674
-2158,-1257
-1053,-1257
-1053,-1257
-1053,-1257
-1053,-589
-386,-589
-386,-589
-386,-589
-386,265
-64,265
-64,265
-64,265
-64,1230
-175,1230
-175,1230
-175,1230
-175,1669
-1043,1669
-1043,1669
-1043,1669
-1043,1071
-2376,1071
-2376,1071
-2376,1071
-2376,-133
-3255,-133
-3255,-133
-3255,-133
-3255,-1139
-3229,-1139
-3229,-1139
-3229,-1139
-3229,-1731
-2674,-1731
-2674,-1731
-2674,-1731
-2674,-2012
-1934,-2012
-1934,-2012
-1934,-2012
-1934,-1727
-968,-1727
-968,-1727
-968,-1727
-968,-683
-60,-683
-60,-683
-60,-683
-60,507
58,507
58,507
58,507
58,969
-808,969
-808,969
-808,969
-808,603
-1955,603
-1955,603
-1955,603
-1955,-116
-2741,-116
-2741,-116
-2741,-116
-2741,-1032
-3163,-1032
-3163,-1032
-3163,-1032
-3163,-2158
-3219,-2158
-3219,-2158
-3219,-2158
